Group Signal ,Ctrl F,Frame 103158,
Format,Mag,Scaling,EU
Signals,Ref,Alarm-,Alarm+,Abort-,Abort+

Hz,g,g,g,g,g

              5,           0.05,     0.03539729,     0.07062688,     0.02505936,     0.09976312
       5.001831,           0.05,     0.03539729,     0.07062688,     0.02505936,     0.09976312
       5.003663,           0.05,     0.03539729,     0.07062688,     0.02505936,     0.09976312
       5.005494,           0.05,     0.03539729,     0.07062688,     0.02505936,     0.09976312
       5.007325,           0.05,     0.03539729,     0.07062688,     0.02505936,     0.09976312
       5.009156,           0.05,     0.03539729,     0.07062688,     0.02505936,     0.09976312
       5.010988,           0.05,     0.03539729,     0.07062688,     0.02505936,     0.09976312
       5.012819,           0.05,     0.03539729,     0.07062688,     0.02505936,     0.09976312
        5.01465,           0.05,     0.03539729,     0.07062688,     0.02505936,     0.09976312
       5.016481,           0.05,     0.03539729,     0.07062688,     0.02505936,     0.09976312
       5.018313,           0.05,     0.03539729,     0.07062688,     0.02505936,     0.09976312
       5.020144,           0.05,     0.03539729,     0.07062688,     0.02505936,     0.09976312
       5.021976,           0.05,     0.03539729,     0.07062688,     0.02505936,     0.09976312
       5.023807,           0.05,     0.03539729,     0.07062688,     0.02505936,     0.09976312
       5.025638,           0.05,     0.03539729,     0.07062688,     0.02505936,     0.09976312
       5.027469,           0.05,     0.03539729,     0.07062688,     0.02505936,     0.09976312
       5.029301,           0.05,     0.03539729,     0.07062688,     0.02505936,     0.09976312
       5.031132,           0.05,     0.03539729,     0.07062688,     0.02505936,     0.09976312
       5.032963,           0.05,     0.03539729,     0.07062688,     0.02505936,     0.09976312
       5.034794,           0.05,     0.03539729,     0.07062688,     0.02505936,     0.09976312
       5.036625,           0.05,     0.03539729,     0.07062688,     0.02505936,     0.09976312
       5.038457,           0.05,     0.03539729,     0.07062688,     0.02505936,     0.09976312
       5.040288,           0.05,     0.03539729,     0.07062688,     0.02505936,     0.09976312
        5.04212,           0.05,     0.03539729,     0.07062688,     0.02505936,     0.09976312
       5.043951,           0.05,     0.03539729,     0.07062688,     0.02505936,     0.09976312
       5.045782,           0.05,     0.03539729,     0.07062688,     0.02505936,     0.09976312
       5.047613,           0.05,     0.03539729,     0.07062688,     0.02505936,     0.09976312
       5.049445,           0.05,     0.03539729,     0.07062688,     0.02505936,     0.09976312
       5.051276,           0.05,     0.03539729,     0.07062688,     0.02505936,     0.09976312
       5.053107,           0.05,     0.03539729,     0.07062688,     0.02505936,     0.09976312
       5.054938,           0.05,     0.03539729,     0.07062688,     0.02505936,     0.09976312
        5.05677,           0.05,     0.03539729,     0.07062688,     0.02505936,     0.09976312
       5.058601,           0.05,     0.03539729,     0.07062688,     0.02505936,     0.09976312
       5.060432,           0.05,     0.03539729,     0.07062688,     0.02505936,     0.09976312
       5.062263,           0.05,     0.03539729,     0.07062688,     0.02505936,     0.09976312
       5.064095,           0.05,     0.03539729,     0.07062688,     0.02505936,     0.09976312
       5.065926,           0.05,     0.03539729,     0.07062688,     0.02505936,     0.09976312
       5.067757,           0.05,     0.03539729,     0.07062688,     0.02505936,     0.09976312
       5.069589,           0.05,     0.03539729,     0.07062688,     0.02505936,     0.09976312
        5.07142,           0.05,     0.03539729,     0.07062688,     0.02505936,     0.09976312
       5.073251,           0.05,     0.03539729,     0.07062688,     0.02505936,     0.09976312
       5.075082,           0.05,     0.03539729,     0.07062688,     0.02505936,     0.09976312
       5.076914,           0.05,     0.03539729,     0.07062688,     0.02505936,     0.09976312
       5.078745,           0.05,     0.03539729,     0.07062688,     0.02505936,     0.09976312
       5.080576,           0.05,     0.03539729,     0.07062688,     0.02505936,     0.09976312
       5.082407,           0.05,     0.03539729,     0.07062688,     0.02505936,     0.09976312
       5.084239,           0.05,     0.03539729,     0.07062688,     0.02505936,     0.09976312
        5.08607,           0.05,     0.03539729,     0.07062688,     0.02505936,     0.09976312
       5.087902,           0.05,     0.03539729,     0.07062688,     0.02505936,     0.09976312
       5.089733,           0.05,     0.03539729,     0.07062688,     0.02505936,     0.09976312
       5.091564,           0.05,     0.03539729,     0.07062688,     0.02505936,     0.09976312
       5.093395,           0.05,     0.03539729,     0.07062688,     0.02505936,     0.09976312
       5.095226,           0.05,     0.03539729,     0.07062688,     0.02505936,     0.09976312
       5.097058,           0.05,     0.03539729,     0.07062688,     0.02505936,     0.09976312
       5.098889,           0.05,     0.03539729,     0.07062688,     0.02505936,     0.09976312
        5.10072,           0.05,     0.03539729,     0.07062688,     0.02505936,     0.09976312
       5.102551,           0.05,     0.03539729,     0.07062688,     0.02505936,     0.09976312
       5.104383,           0.05,     0.03539729,     0.07062688,     0.02505936,     0.09976312
       5.106214,           0.05,     0.03539729,     0.07062688,     0.02505936,     0.09976312
       5.108046,           0.05,     0.03539729,     0.07062688,     0.02505936,     0.09976312
       5.109877,           0.05,     0.03539729,     0.07062688,     0.02505936,     0.09976312
       5.111708,           0.05,     0.03539729,     0.07062688,     0.02505936,     0.09976312
       5.113539,           0.05,     0.03539729,     0.07062688,     0.02505936,     0.09976312
       5.115371,           0.05,     0.03539729,     0.07062688,     0.02505936,     0.09976312
       5.117202,           0.05,     0.03539729,     0.07062688,     0.02505936,     0.09976312
       5.119033,           0.05,     0.03539729,     0.07062688,     0.02505936,     0.09976312
       5.120864,           0.05,     0.03539729,     0.07062688,     0.02505936,     0.09976312
       5.122695,           0.05,     0.03539729,     0.07062688,     0.02505936,     0.09976312
       5.124527,           0.05,     0.03539729,     0.07062688,     0.02505936,     0.09976312
       5.126358,           0.05,     0.03539729,     0.07062688,     0.02505936,     0.09976312
        5.12819,           0.05,     0.03539729,     0.07062688,     0.02505936,     0.09976312
       5.130021,           0.05,     0.03539729,     0.07062688,     0.02505936,     0.09976312
       5.131852,           0.05,     0.03539729,     0.07062688,     0.02505936,     0.09976312
       5.133683,           0.05,     0.03539729,     0.07062688,     0.02505936,     0.09976312
       5.135515,           0.05,     0.03539729,     0.07062688,     0.02505936,     0.09976312
       5.137346,           0.05,     0.03539729,     0.07062688,     0.02505936,     0.09976312
       5.139177,           0.05,     0.03539729,     0.07062688,     0.02505936,     0.09976312
       5.141008,           0.05,     0.03539729,     0.07062688,     0.02505936,     0.09976312
        5.14284,           0.05,     0.03539729,     0.07062688,     0.02505936,     0.09976312
       5.144671,           0.05,     0.03539729,     0.07062688,     0.02505936,     0.09976312
       5.146502,           0.05,     0.03539729,     0.07062688,     0.02505936,     0.09976312
       5.148334,           0.05,     0.03539729,     0.07062688,     0.02505936,     0.09976312
       5.150165,           0.05,     0.03539729,     0.07062688,     0.02505936,     0.09976312
       5.151996,           0.05,     0.03539729,     0.07062688,     0.02505936,     0.09976312
       5.153827,           0.05,     0.03539729,     0.07062688,     0.02505936,     0.09976312
       5.155659,           0.05,     0.03539729,     0.07062688,     0.02505936,     0.09976312
        5.15749,           0.05,     0.03539729,     0.07062688,     0.02505936,     0.09976312
       5.159321,           0.05,     0.03539729,     0.07062688,     0.02505936,     0.09976312
       5.161152,           0.05,     0.03539729,     0.07062688,     0.02505936,     0.09976312
       5.162984,           0.05,     0.03539729,     0.07062688,     0.02505936,     0.09976312
       5.164815,           0.05,     0.03539729,     0.07062688,     0.02505936,     0.09976312
       5.166646,           0.05,     0.03539729,     0.07062688,     0.02505936,     0.09976312
       5.168478,           0.05,     0.03539729,     0.07062688,     0.02505936,     0.09976312
       5.170309,           0.05,     0.03539729,     0.07062688,     0.02505936,     0.09976312
        5.17214,           0.05,     0.03539729,     0.07062688,     0.02505936,     0.09976312
       5.173972,           0.05,     0.03539729,     0.07062688,     0.02505936,     0.09976312
       5.175803,           0.05,     0.03539729,     0.07062688,     0.02505936,     0.09976312
       5.177634,           0.05,     0.03539729,     0.07062688,     0.02505936,     0.09976312
       5.179465,           0.05,     0.03539729,     0.07062688,     0.02505936,     0.09976312
       5.181296,           0.05,     0.03539729,     0.07062688,     0.02505936,     0.09976312
       5.183128,           0.05,     0.03539729,     0.07062688,     0.02505936,     0.09976312
       5.184959,           0.05,     0.03539729,     0.07062688,     0.02505936,     0.09976312
        5.18679,           0.05,     0.03539729,     0.07062688,     0.02505936,     0.09976312
       5.188622,           0.05,     0.03539729,     0.07062688,     0.02505936,     0.09976312
       5.190453,           0.05,     0.03539729,     0.07062688,     0.02505936,     0.09976312
       5.192284,           0.05,     0.03539729,     0.07062688,     0.02505936,     0.09976312
       5.194116,           0.05,     0.03539729,     0.07062688,     0.02505936,     0.09976312
       5.195947,           0.05,     0.03539729,     0.07062688,     0.02505936,     0.09976312
       5.197778,           0.05,     0.03539729,     0.07062688,     0.02505936,     0.09976312
       5.199609,           0.05,     0.03539729,     0.07062688,     0.02505936,     0.09976312
       5.201441,           0.05,     0.03539729,     0.07062688,     0.02505936,     0.09976312
       5.203272,           0.05,     0.03539729,     0.07062688,     0.02505936,     0.09976312
       5.205103,           0.05,     0.03539729,     0.07062688,     0.02505936,     0.09976312
       5.206934,           0.05,     0.03539729,     0.07062688,     0.02505936,     0.09976312
       5.208766,           0.05,     0.03539729,     0.07062688,     0.02505936,     0.09976312
       5.210597,           0.05,     0.03539729,     0.07062688,     0.02505936,     0.09976312
       5.212428,           0.05,     0.03539729,     0.07062688,     0.02505936,     0.09976312
        5.21426,           0.05,     0.03539729,     0.07062688,     0.02505936,     0.09976312
       5.216091,           0.05,     0.03539729,     0.07062688,     0.02505936,     0.09976312
       5.217922,           0.05,     0.03539729,     0.07062688,     0.02505936,     0.09976312
       5.219753,           0.05,     0.03539729,     0.07062688,     0.02505936,     0.09976312
       5.221585,           0.05,     0.03539729,     0.07062688,     0.02505936,     0.09976312
       5.223416,           0.05,     0.03539729,     0.07062688,     0.02505936,     0.09976312
       5.225247,           0.05,     0.03539729,     0.07062688,     0.02505936,     0.09976312
       5.227078,           0.05,     0.03539729,     0.07062688,     0.02505936,     0.09976312
        5.22891,           0.05,     0.03539729,     0.07062688,     0.02505936,     0.09976312
       5.230741,           0.05,     0.03539729,     0.07062688,     0.02505936,     0.09976312
       5.232573,           0.05,     0.03539729,     0.07062688,     0.02505936,     0.09976312
       5.234404,           0.05,     0.03539729,     0.07062688,     0.02505936,     0.09976312
       5.236235,           0.05,     0.03539729,     0.07062688,     0.02505936,     0.09976312
       5.238066,           0.05,     0.03539729,     0.07062688,     0.02505936,     0.09976312
       5.239897,           0.05,     0.03539729,     0.07062688,     0.02505936,     0.09976312
       5.241729,           0.05,     0.03539729,     0.07062688,     0.02505936,     0.09976312
        5.24356,           0.05,     0.03539729,     0.07062688,     0.02505936,     0.09976312
       5.245391,           0.05,     0.03539729,     0.07062688,     0.02505936,     0.09976312
       5.247222,           0.05,     0.03539729,     0.07062688,     0.02505936,     0.09976312
       5.249054,           0.05,     0.03539729,     0.07062688,     0.02505936,     0.09976312
       5.250885,           0.05,     0.03539729,     0.07062688,     0.02505936,     0.09976312
       5.252717,           0.05,     0.03539729,     0.07062688,     0.02505936,     0.09976312
       5.254548,           0.05,     0.03539729,     0.07062688,     0.02505936,     0.09976312
       5.256379,           0.05,     0.03539729,     0.07062688,     0.02505936,     0.09976312
        5.25821,           0.05,     0.03539729,     0.07062688,     0.02505936,     0.09976312
       5.260042,           0.05,     0.03539729,     0.07062688,     0.02505936,     0.09976312
       5.261873,           0.05,     0.03539729,     0.07062688,     0.02505936,     0.09976312
       5.263704,           0.05,     0.03539729,     0.07062688,     0.02505936,     0.09976312
       5.265535,           0.05,     0.03539729,     0.07062688,     0.02505936,     0.09976312
       5.267366,           0.05,     0.03539729,     0.07062688,     0.02505936,     0.09976312
       5.269198,           0.05,     0.03539729,     0.07062688,     0.02505936,     0.09976312
       5.271029,           0.05,     0.03539729,     0.07062688,     0.02505936,     0.09976312
       5.272861,           0.05,     0.03539729,     0.07062688,     0.02505936,     0.09976312
       5.274692,           0.05,     0.03539729,     0.07062688,     0.02505936,     0.09976312
       5.276523,           0.05,     0.03539729,     0.07062688,     0.02505936,     0.09976312
       5.278354,           0.05,     0.03539729,     0.07062688,     0.02505936,     0.09976312
